34564,2021-10-03T19:18:29+0000;0444,T6650,Ha6ac;0445,T66cd,Ha488;0544,T6986,H8d44;0545,T6d81,H84b8;0644,T6b85,H8e6c;0645,T684a,H9e36;0744,T6659,H9873;0745,T65cc,Hab22
34683,2021-10-03T19:35:51+0000;0444,T76cb,H68a0;0445,T76ca,H662f;0544,T766a,H621a;0545,T776b,H63f2;0644,T779a,H6516;0645,T767e,H68bc;0744,T7525,H623a;0745,T7550,H6d8d
34684,2021-10-03T19:36:00+0000;0444,T76c2,H68b6;0445,T76c2,H6632;0544,T7662,H6226;0545,T7762,H6416;0644,T778f,H6524;0645,T7672,H68cb;0744,T751f,H622c;0745,T7548,H6d80
34685,2021-10-03T19:36:09+0000;0444,T76b5,H68a7;0445,T76b6,H663f;0544,T7657,H6222;0545,T7751,H641c;0644,T7782,H652f;0645,T766d,H68cc;0744,T751c,H622e;0745,T7543,H6da0
34686,2021-10-03T19:36:18+0000;0444,T76ab,H68be;0445,T76a6,H6644;0544,T764f,H6229;0545,T7744,H6435;0644,T7776,H6533;0645,T7665,H68c8;0744,T7516,H6214;0745,T753c,H6d74
34687,2021-10-03T19:36:27+0000;0444,T76a1,H68b3;0445,T76a0,H6633;0544,T7646,H6217;0545,T7735,H6446;0644,T776d,H6543;0645,T765c,H68cb;0744,T7512,H6227;0745,T7534,H6d8e
34688,2021-10-03T19:36:35+0000;0444,T7698,H68ba;0445,T7694,H6633;0544,T763a,H6222;0545,T7727,H6451;0644,T7760,H6544;0645,T7651,H68ca;0744,T7509,H620d;0745,T752f,H6d76
34689,2021-10-03T19:36:44+0000;0444,T768f,H68b3;0445,T768a,H6628;0544,T7632,H6224;0545,T7719,H6453;0644,T7753,H6555;0645,T7648,H68b7;0744,T7505,H61f8;0745,T7525,H6d45
34690,2021-10-03T19:36:53+0000;0444,T7687,H68be;0445,T7682,H6634;0544,T7626,H621e;0545,T7713,H644d;0644,T7748,H6545;0645,T763d,H68af;0744,T74fe,H61ee;0745,T751c,H6d50
34691,2021-10-03T19:37:02+0000;0444,T767b,H68c8;0445,T7676,H6650;0544,T7619,H6252;0545,T7706,H6462;0644,T773d,H655c;0645,T7634,H68c6;0744,T74f7,H61e5;0745,T7517,H6d71
34692,2021-10-03T19:37:10+0000;0444,T7670,H68e2;0445,T766d,H6654;0544,T760f,H624e;0545,T76f9,H646f;0644,T7730,H6569;0645,T762d,H68df;0744,T74f3,H61fb;0745,T7511,H6d81
34693,2021-10-03T19:37:19+0000;0444,T7663,H68ec;0445,T7662,H6664;0544,T7602,H6254;0545,T76ec,H6485;0644,T7726,H6573;0645,T7625,H68c9;0744,T74ee,H61ec;0745,T7508,H6d74
34694,2021-10-03T19:37:28+0000;0444,T765a,H68d7;0445,T7657,H6648;0544,T75f5,H6261;0545,T76dd,H6481;0644,T771b,H6574;0645,T761d,H68d1;0744,T74e6,H61e8;0745,T74fd,H6d72
34695,2021-10-03T19:37:37+0000;0444,T764f,H68ee;0445,T764d,H666e;0544,T75ed,H6273;0545,T76d5,H649d;0644,T770e,H6580;0645,T760e,H68da;0744,T74e1,H61d7;0745,T74f5,H6d6f
34696,2021-10-03T19:37:45+0000;0444,T7643,H6901;0445,T7640,H6680;0544,T75e0,H6284;0545,T76c9,H64b3;0644,T7705,H659c;0645,T7609,H68e6;0744,T74d8,H61e7;0745,T74eb,H6d6e
34697,2021-10-03T19:37:54+0000;0444,T7636,H6918;0445,T7637,H66a2;0544,T75d7,H6285;0545,T76be,H64d1;0644,T76f8,H65b4;0645,T75fa,H68fe;0744,T74d3,H61ef;0745,T74e8,H6da6
34698,2021-10-03T19:38:03+0000;0444,T762d,H693a;0445,T762b,H66b1;0544,T75cf,H6289;0545,T76af,H64ef;0644,T76eb,H65db;0645,T75f5,H6921;0744,T74cc,H6213;0745,T74e1,H6db5
34699,2021-10-03T19:38:12+0000;0444,T7621,H6953;0445,T761d,H66d3;0544,T75c3,H62be;0545,T769e,H6510;0644,T76e2,H65ea;0645,T75e8,H6922;0744,T74c3,H61fb;0745,T74d9,H6da8
34700,2021-10-03T19:38:20+0000;0444,T7617,H696e;0445,T7614,H66ed;0544,T75b5,H62c6;0545,T7693,H6529;0644,T76d2,H6601;0645,T75de,H692f;0744,T74bb,H6217;0745,T74d2,H6da9
34701,2021-10-03T19:38:29+0000;0444,T7609,H697b;0445,T7607,H66f7;0544,T75aa,H62ba;0545,T7686,H6547;0644,T76c3,H6615;0645,T75d6,H6931;0744,T74b2,H61fe;0745,T74c8,H6d9e
34702,2021-10-03T19:38:38+0000;0444,T75fc,H6980;0445,T75fb,H66fb;0544,T75a0,H62d7;0545,T7677,H6559;0644,T76b8,H6620;0645,T75c8,H6944;0744,T74a7,H6206;0745,T74bb,H6d9d
34703,2021-10-03T19:38:47+0000;0444,T75f1,H698d;0445,T75ee,H6708;0544,T7595,H62cc;0545,T7666,H6574;0644,T76ac,H6633;0645,T75be,H6943;0744,T74a3,H61fc;0745,T74b3,H6daa
34704,2021-10-03T19:38:55+0000;0444,T75e6,H6980;0445,T75e1,H6718;0544,T758b,H62ed;0545,T765b,H657e;0644,T76a1,H6643;0645,T75b4,H6959;0744,T749b,H6209;0745,T74ac,H6dcb
34705,2021-10-03T19:39:04+0000;0444,T75d8,H699a;0445,T75d4,H671d;0544,T7580,H62ce;0545,T764d,H6588;0644,T7693,H664d;0645,T75aa,H6969;0744,T7493,H61fd;0745,T74a3,H6da0
34706,2021-10-03T19:39:13+0000;0444,T75cf,H69a2;0445,T75c9,H6717;0544,T7574,H62ea;0545,T7642,H659d;0644,T7684,H6665;0645,T759f,H6966;0744,T748a,H6201;0745,T749a,H6dad
34707,2021-10-03T19:39:22+0000;0444,T75c2,H69b8;0445,T75bf,H673b;0544,T7569,H62ce;0545,T7634,H65a1;0644,T7679,H6672;0645,T7597,H697f;0744,T7482,H620c;0745,T748e,H6dc9
34708,2021-10-03T19:39:30+0000;0444,T75b9,H69d0;0445,T75b1,H6758;0544,T755c,H62f0;0545,T7629,H65c5;0644,T7670,H667f;0645,T758b,H697b;0744,T7479,H620d;0745,T7488,H6dcd
34709,2021-10-03T19:39:39+0000;0444,T75ab,H69d0;0445,T75a5,H6753;0544,T7551,H6306;0545,T7613,H65d2;0644,T7663,H669a;0645,T757f,H6986;0744,T7472,H6208;0745,T747c,H6dc0
34710,2021-10-03T19:39:48+0000;0444,T75a1,H69e7;0445,T759a,H675e;0544,T7540,H6349;0545,T760a,H65e1;0644,T7654,H6693;0645,T7574,H697d;0744,T7467,H61fd;0745,T7474,H6db0
34711,2021-10-03T19:39:57+0000;0444,T7598,H69e8;0445,T758d,H6767;0544,T7535,H6321;0545,T75fc,H65da;0644,T7644,H669c;0645,T756a,H697b;0744,T745f,H61fe;0745,T7467,H6dbf
34712,2021-10-03T19:40:06+0000;0444,T758c,H69d8;0445,T7581,H6766;0544,T7529,H6324;0545,T75ed,H65f7;0644,T7639,H66a5;0645,T755e,H6981;0744,T7454,H61f0;0745,T7460,H6dc3
34713,2021-10-03T19:40:14+0000;0444,T757e,H69d4;0445,T7575,H6771;0544,T751b,H6331;0545,T75e5,H65ff;0644,T762f,H66a2;0645,T7553,H6977;0744,T744d,H61dc;0745,T7454,H6dac
34714,2021-10-03T19:40:23+0000;0444,T7570,H69db;0445,T7568,H6780;0544,T7511,H631e;0545,T75d6,H6606;0644,T7620,H66b0;0645,T7547,H6985;0744,T7442,H61f1;0745,T744e,H6dc9
34715,2021-10-03T19:40:32+0000;0444,T7565,H69fe;0445,T755f,H6788;0544,T7507,H6336;0545,T75cb,H6603;0644,T7615,H66cd;0645,T753c,H6990;0744,T743d,H61fd;0745,T7445,H6dd6
34716,2021-10-03T19:40:41+0000;0444,T7557,H6a10;0445,T754f,H679c;0544,T74f7,H6365;0545,T75c0,H6621;0644,T7606,H66db;0645,T7532,H69aa;0744,T7434,H6203;0745,T743c,H6dec
34717,2021-10-03T19:40:49+0000;0444,T754d,H6a1a;0445,T7542,H67ac;0544,T74ef,H6363;0545,T75b2,H662d;0644,T75f6,H66e7;0645,T7524,H699d;0744,T7429,H61d7;0745,T7430,H6db3
34718,2021-10-03T19:40:58+0000;0444,T7542,H6a1b;0445,T7535,H67b2;0544,T74e3,H6345;0545,T75a5,H6625;0644,T75e9,H66f2;0645,T751a,H69a2;0744,T7420,H61d7;0745,T7428,H6dbb
34719,2021-10-03T19:41:07+0000;0444,T7535,H6a2d;0445,T752d,H67a5;0544,T74db,H633a;0545,T759b,H6631;0644,T75de,H6701;0645,T7512,H69a0;0744,T7415,H61dd;0745,T741c,H6daf
34720,2021-10-03T19:41:16+0000;0444,T752b,H6a10;0445,T751f,H679a;0544,T74cd,H6349;0545,T758c,H6638;0644,T75ce,H66fe;0645,T7506,H698d;0744,T740a,H61d7;0745,T7411,H6db3
34721,2021-10-03T19:41:24+0000;0444,T751f,H6a1c;0445,T7513,H6792;0544,T74bf,H6349;0545,T757e,H663d;0644,T75bf,H66fd;0645,T74fb,H6996;0744,T7403,H61ce;0745,T7406,H6db3
34722,2021-10-03T19:41:33+0000;0444,T7511,H6a27;0445,T7505,H67a2;0544,T74b1,H6355;0545,T756f,H6650;0644,T75b2,H6719;0645,T74ef,H69a1;0744,T73fa,H61d0;0745,T7400,H6dbe
34723,2021-10-03T19:41:42+0000;0444,T7502,H6a47;0445,T74fa,H67c3;0544,T74a2,H639e;0545,T7562,H6667;0644,T75a6,H6740;0645,T74e3,H69cc;0744,T73f0,H6200;0745,T73f4,H6e00
34724,2021-10-03T19:41:51+0000;0444,T74f9,H6a6a;0445,T74ed,H67e9;0544,T7496,H6386;0545,T7557,H6692;0644,T759b,H6758;0645,T74d7,H69e4;0744,T73e9,H61ff;0745,T73eb,H6e08
34725,2021-10-03T19:41:59+0000;0444,T74e8,H6a7b;0445,T74df,H680c;0544,T7488,H63a4;0545,T7548,H66aa;0644,T758d,H676d;0645,T74cb,H69fc;0744,T73df,H6208;0745,T73e1,H6dfa
34726,2021-10-03T19:42:08+0000;0444,T74dd,H6a89;0445,T74d5,H6829;0544,T747d,H63d4;0545,T753b,H66bd;0644,T7580,H677a;0645,T74be,H6a03;0744,T73d2,H61ec;0745,T73d9,H6ddf
34727,2021-10-03T19:42:17+0000;0444,T74d0,H6a8c;0445,T74c8,H680a;0544,T7471,H63d3;0545,T752c,H66c5;0644,T7572,H677d;0645,T74b2,H69fb;0744,T73cc,H61f7;0745,T73cf,H6def
34728,2021-10-03T19:42:26+0000;0444,T74c5,H6a9a;0445,T74ba,H6822;0544,T7467,H63d5;0545,T7522,H66c9;0644,T7566,H6787;0645,T74a2,H6a15;0744,T73c1,H6210;0745,T73c2,H6e08
34729,2021-10-03T19:42:34+0000;0444,T74b9,H6a9b;0445,T74af,H6818;0544,T7457,H63de;0545,T7514,H66ce;0644,T7557,H679c;0645,T749c,H6a23;0744,T73b7,H6204;0745,T73bb,H6e0f
34730,2021-10-03T19:42:43+0000;0444,T747b,H65c8;0445,T747e,H634a;0544,T7437,H5ff9;0545,T74e6,H629d;0644,T7537,H632f;0645,T7473,H6559;0744,T739d,H5ebc;0745,T73a5,H6aa1
34731,2021-10-03T19:42:52+0000;0444,T7428,H5cf5;0445,T7433,H5e52;0544,T73f3,H59eb;0545,T749f,H5de5;0644,T7501,H59bf;0645,T743a,H5c46;0744,T737b,H5abd;0745,T7385,H6c5e
34732,2021-10-03T19:43:01+0000;0444,T7403,H5ed7;0445,T7406,H5b62;0544,T73d3,H57e3;0545,T747a,H662a;0644,T74ea,H5a6a;0645,T7421,H5d16;0744,T7361,H5b1f;0745,T736e,H76ff
34733,2021-10-03T19:43:10+0000;0444,T73e2,H60a8;0445,T73ea,H5fd7;0544,T73c3,H61cb;0545,T745d,H6510;0644,T74d9,H5b2e;0645,T740e,H5ee5;0744,T7350,H5ed2;0745,T734f,H7674
34734,2021-10-03T19:43:18+0000;0444,T73cb,H69cc;0445,T73d0,H6496;0544,T73ac,H75dc;0545,T7448,H6e0f;0644,T74ca,H5c33;0645,T7400,H6036;0744,T733f,H602f;0745,T7338,H74c1
34735,2021-10-03T19:43:27+0000;0444,T73b4,H7501;0445,T73af,H6d61;0544,T738d,H7a3b;0545,T742b,H7353;0644,T74ba,H5d51;0645,T73ee,H6154;0744,T7330,H615e;0745,T7321,H7915
34736,2021-10-03T19:43:36+0000;0444,T7398,H77f0;0445,T7394,H7319;0544,T736d,H7e9c;0545,T7411,H774f;0644,T74aa,H5ef4;0645,T73df,H62d4;0744,T731f,H6294;0745,T7308,H779f
34737,2021-10-03T19:43:45+0000;0444,T7379,H7c85;0445,T7373,H775f;0544,T734d,H80b2;0545,T73f2,H7572;0644,T7499,H5fbd;0645,T73ce,H634b;0744,T730d,H6290;0745,T72ef,H7711
34738,2021-10-03T19:43:53+0000;0444,T7358,H7ea1;0445,T7350,H7e15;0544,T7323,H837a;0545,T73d4,H8001;0644,T7487,H60c8;0645,T73be,H648a;0744,T7300,H6356;0745,T72dc,H7c2f
34739,2021-10-03T19:44:02+0000;0444,T7332,H7b7a;0445,T732c,H76ce;0544,T7307,H827e;0545,T73b7,H8216;0644,T7475,H627a;0645,T73ac,H669b;0744,T72ef,H65d2;0745,T72c3,H7c37
34740,2021-10-03T19:44:11+0000;0444,T7312,H7cce;0445,T730c,H78eb;0544,T72e6,H86e7;0545,T7396,H7f22;0644,T745f,H63ab;0645,T7399,H67ea;0744,T72de,H66fd;0745,T72ac,H7e26
34741,2021-10-03T19:44:20+0000;0444,T72f5,H8042;0445,T72e8,H8422;0544,T72c1,H8839;0545,T7379,H8477;0644,T744d,H6531;0645,T7387,H6970;0744,T72ca,H6810;0745,T7296,H8075
34742,2021-10-03T19:44:28+0000;0444,T72d2,H7e33;0445,T72c8,H79e9;0544,T72a4,H8689;0545,T7357,H822f;0644,T7436,H66d0;0645,T7375,H6b0c;0744,T72be,H69e1;0745,T7284,H827d
34743,2021-10-03T19:44:37+0000;0444,T72b1,H7e60;0445,T72a3,H8047;0544,T7288,H881a;0545,T7336,H80ba;0644,T7420,H6846;0645,T7360,H6c37;0744,T72ab,H6a7d;0745,T726b,H833b
34744,2021-10-03T19:44:46+0000;0444,T7293,H81fa;0445,T7288,H7e3d;0544,T7267,H89fb;0545,T731b,H891d;0644,T740d,H69b5;0645,T734c,H6d6f;0744,T7297,H6b82;0745,T7256,H837a
34745,2021-10-03T19:44:55+0000;0444,T7279,H861f;0445,T7267,H843a;0544,T724b,H8ace;0545,T72fb,H81c2;0644,T73f5,H6b1f;0645,T7338,H6ef4;0744,T7287,H6ce4;0745,T723f,H83e9
34746,2021-10-03T19:45:03+0000;0444,T7256,H859d;0445,T724c,H8083;0544,T7237,H8cd4;0545,T72de,H8462;0644,T73e0,H6ce4;0645,T7324,H7082;0744,T7273,H6cd6;0745,T722e,H8620
34747,2021-10-03T19:45:12+0000;0444,T723a,H88db;0445,T722d,H8950;0544,T721e,H9150;0545,T72c0,H83b5;0644,T73ca,H6e7d;0645,T730e,H7205;0744,T7261,H6e96;0745,T7216,H8749
34748,2021-10-03T19:45:21+0000;0444,T721b,H8929;0445,T7213,H85b5;0544,T71fb,H8fdd;0545,T72a4,H8c73;0644,T73b3,H7016;0645,T72fa,H73a5;0744,T724f,H7011;0745,T7201,H8850
34749,2021-10-03T19:45:30+0000;0444,T7200,H8a3a;0445,T71f4,H899c;0544,T71e8,H9550;0545,T7285,H8625;0644,T739c,H71ca;0645,T72e8,H7546;0744,T723e,H71ce;0745,T71eb,H8947
34750,2021-10-03T19:45:38+0000;0444,T71e0,H8d7c;0445,T71d2,H901d;0544,T71cc,H9650;0545,T726d,H9272;0644,T7386,H7340;0645,T72d1,H76ac;0744,T722d,H7312;0745,T71d7,H8908
34751,2021-10-03T19:45:47+0000;0444,T71c5,H8de5;0445,T71b4,H8fe6;0544,T71ad,H94fa;0545,T7251,H9ea3;0644,T736e,H74b9;0645,T72be,H7802;0744,T7219,H73b4;0745,T71c4,H8a8a
34752,2021-10-03T19:45:56+0000;0444,T71a6,H8cec;0445,T7197,H91f6;0544,T7196,H9902;0545,T7231,H9b78;0644,T735a,H7662;0645,T72a4,H795e;0744,T7207,H7523;0745,T71af,H8cb8
34753,2021-10-03T19:46:05+0000;0444,T718e,H8ea7;0445,T7177,H905b;0544,T7175,H9700;0545,T7212,Ha0e0;0644,T7343,H77eb;0645,T7290,H7ade;0744,T71f6,H765e;0745,T7198,H8caf
34754,2021-10-03T19:46:13+0000;0444,T7175,H91b7;0445,T7159,H8eac;0544,T7160,H9814;0545,T71f4,Ha468;0644,T732e,H7946;0645,T727b,H7c66;0744,T71e3,H771e;0745,T7187,H8ea4
34755,2021-10-03T19:46:22+0000;0444,T7159,H92be;0445,T7140,H93ec;0544,T7142,H9b63;0545,T71d7,Ha53d;0644,T7315,H7a9f;0645,T7265,H7dcd;0744,T71d0,H78b1;0745,T7174,H8f91
34756,2021-10-03T19:46:31+0000;0444,T713e,H913c;0445,T7122,H9423;0544,T712b,H9d5c;0545,T71b7,Ha40d;0644,T72fe,H7c41;0645,T7251,H7f62;0744,T71be,H79d0;0745,T715e,H8f8c
34757,2021-10-03T19:46:40+0000;0444,T7125,H91b7;0445,T7104,H9678;0544,T7113,H9e52;0545,T719b,Ha577;0644,T72e8,H7e07;0645,T723d,H80e4;0744,T71ad,H7ab2;0745,T714d,H9041
34758,2021-10-03T19:46:49+0000;0444,T710c,H9303;0445,T70e7,H95b2;0544,T70fc,H9e9d;0545,T717c,Ha447;0644,T72d1,H7f98;0645,T7226,H81dd;0744,T7199,H7b6d;0745,T7134,H91d0
34759,2021-10-03T19:46:57+0000;0444,T70f6,H96a1;0445,T70cc,H96c5;0544,T70e3,H9cf0;0545,T7164,Ha5ff;0644,T72ba,H80bb;0645,T7211,H8339;0744,T7187,H7d09;0745,T7122,H9412
34760,2021-10-03T19:47:06+0000;0444,T70da,H9677;0445,T70ae,H9764;0544,T70c8,H9d77;0545,T7144,Ha41c;0644,T72a2,H8170;0645,T71fa,H84b9;0744,T7174,H7de1;0745,T710e,H9393
34761,2021-10-03T19:47:15+0000;0444,T70c3,H9874;0445,T7095,H998a;0544,T70b1,Ha06f;0545,T7129,Ha780;0644,T728a,H82fc;0645,T71e5,H85c8;0744,T7163,H7ef2;0745,T70fb,H9523
34762,2021-10-03T19:47:24+0000;0444,T70a8,H9856;0445,T707f,H9deb;0544,T7093,Ha1d2;0545,T7110,Haa18;0644,T7272,H83bd;0645,T71d0,H8704;0744,T714e,H7fd0;0745,T70e8,H966d
34763,2021-10-03T19:47:32+0000;0444,T708f,H9b13;0445,T7062,H9b62;0544,T707d,Ha19d;0545,T70f2,Haa9c;0644,T725b,H853f;0645,T71ba,H87fd;0744,T713d,H80c8;0745,T70d7,H9859
34764,2021-10-03T19:47:41+0000;0444,T7076,H9a02;0445,T7048,H9ef6;0544,T7065,Ha390;0545,T70d9,Haba5;0644,T7244,H866d;0645,T71a4,H8922;0744,T712e,H81f0;0745,T70c6,H9a9a
34765,2021-10-03T19:47:50+0000;0444,T7060,H9ba1;0445,T702d,H9dc2;0544,T704c,Ha481;0545,T70bd,Had74;0644,T722d,H8733;0645,T718d,H8a3d;0744,T711a,H82df;0745,T70b1,H9b10
34766,2021-10-03T19:47:59+0000;0444,T7047,H9eca;0445,T7015,H9e62;0544,T7034,Ha59e;0545,T70a4,Haef1;0644,T7218,H8845;0645,T717b,H8b72;0744,T7107,H841f;0745,T709f,H9c0c
34767,2021-10-03T19:48:07+0000;0444,T7032,Ha07b;0445,T6ffd,Ha005;0544,T701b,Ha347;0545,T7086,Hac99;0644,T7201,H8980;0645,T7167,H8c8c;0744,T70f5,H84b0;0745,T708b,H9c77
34768,2021-10-03T19:48:16+0000;0444,T7019,H9f16;0445,T6fe6,Ha50b;0544,T7003,Ha536;0545,T706e,Haf3b;0644,T71eb,H8ad7;0645,T714e,H8da0;0744,T70e4,H8593;0745,T707b,H9e74
34769,2021-10-03T19:48:25+0000;0444,T6fff,H9e68;0445,T6fc8,Ha4f0;0544,T6feb,Ha662;0545,T7056,Hb209;0644,T71d3,H8bb9;0645,T713a,H8efd;0744,T70d3,H871c;0745,T7067,H9f0c
34770,2021-10-03T19:48:34+0000;0444,T6fea,H9f65;0445,T6fb1,Ha59a;0544,T6fd2,Ha750;0545,T703a,Hb2a1;0644,T71bb,H8d46;0645,T7126,H901b;0744,T70c1,H8808;0745,T7054,H9f45
34771,2021-10-03T19:48:42+0000;0444,T6fd3,Ha1d8;0445,T6f98,Ha62a;0544,T6fbb,Ha218;0545,T701f,Hb1d8;0644,T71a4,H8df8;0645,T7111,H9118;0744,T70ae,H886e;0745,T7044,Ha002
34772,2021-10-03T19:48:51+0000;0444,T6fbd,Ha2c8;0445,T6f82,Ha586;0544,T6fab,Ha672;0545,T7006,Hb3fd;0644,T7190,H8ee5;0645,T70fb,H91f5;0744,T709b,H8943;0745,T7032,Ha22f
34773,2021-10-03T19:49:00+0000;0444,T6fa8,Ha298;0445,T6f68,Ha811;0544,T6f91,Ha8e3;0545,T6fec,Hb4ea;0644,T7178,H901d;0645,T70e9,H92ec;0744,T7087,H8a30;0745,T7023,Ha298
34774,2021-10-03T19:49:09+0000;0444,T6f91,Ha350;0445,T6f53,Ha989;0544,T6f7c,Ha8ba;0545,T6fd7,Hb52e;0644,T7163,H90e0;0645,T70d3,H9410;0744,T707a,H8b0b;0745,T700f,Ha247
34775,2021-10-03T19:49:17+0000;0444,T6f7d,Ha674;0445,T6f38,Ha9ca;0544,T6f6d,Ha8bb;0545,T6fb9,Hb5d0;0644,T714a,H91f1;0645,T70be,H952a;0744,T7068,H8bbb;0745,T6ffe,Ha361
34776,2021-10-03T19:49:26+0000;0444,T6f69,Ha6b2;0445,T6f23,Habff;0544,T6f57,Ha87f;0545,T6fa4,Hb642;0644,T7138,H9306;0645,T70ac,H9619;0744,T7056,H8c44;0745,T6fee,Ha548
34777,2021-10-03T19:49:35+0000;0444,T6f4f,Ha6ba;0445,T6f0d,Hacfa;0544,T6f3d,Hab19;0545,T6f89,Hb848;0644,T7120,H93e0;0645,T7092,H970a;0744,T7044,H8d7a;0745,T6fdc,Ha5e9
34778,2021-10-03T19:49:44+0000;0444,T6f3c,Ha7c4;0445,T6ef6,Hae0f;0544,T6f26,Hac63;0545,T6f75,Hb8d3;0644,T7107,H94ea;0645,T7080,H97de;0744,T7034,H8dca;0745,T6fcb,Ha5a2
34779,2021-10-03T19:49:52+0000;0444,T6f25,Ha8d3;0445,T6ede,Hb0ee;0544,T6f13,Had9e;0545,T6f5c,Hb9cc;0644,T70f3,H95c2;0645,T706a,H98e0;0744,T7023,H8e81;0745,T6fb7,Ha6eb
34780,2021-10-03T19:50:01+0000;0444,T6f11,Ha908;0445,T6ec8,Hb083;0544,T6f00,Had90;0545,T6f46,Hbabd;0644,T70dd,H96ba;0645,T7058,H99ec;0744,T7012,H8f2a;0745,T6fa9,Ha71a
34781,2021-10-03T19:50:10+0000;0444,T6efa,Haa1b;0445,T6eae,Hb248;0544,T6eee,Hae3b;0545,T6f2f,Hbb75;0644,T70c5,H97ba;0645,T7042,H9ac8;0744,T6fff,H9006;0745,T6f98,Ha860
34782,2021-10-03T19:50:19+0000;0444,T6ee5,Haaee;0445,T6e98,Hb148;0544,T6eda,Haec2;0545,T6f18,Hbc71;0644,T70ad,H9898;0645,T7030,H9ba6;0744,T6fee,H9090;0745,T6f88,Ha905
34783,2021-10-03T19:50:28+0000;0444,T6ed0,Hab44;0445,T6e84,Hb1ce;0544,T6ec2,Hae59;0545,T6f00,Hbcca;0644,T7096,H9968;0645,T701c,H9c81;0744,T6fe0,H9162;0745,T6f78,Hab1f
34784,2021-10-03T19:50:36+0000;0444,T6ebc,Haca7;0445,T6e6e,Hb2c2;0544,T6eab,Haead;0545,T6eed,Hbe06;0644,T7082,H9a8e;0645,T700a,H9da5;0744,T6fcc,H9257;0745,T6f68,Haae7
34785,2021-10-03T19:50:45+0000;0444,T6ea6,Hace6;0445,T6e5a,Hb610;0544,T6e98,Hb059;0545,T6ed6,Hbf28;0644,T706f,H9c1e;0645,T6ff1,H9e82;0744,T6fbd,H92fc;0745,T6f5b,Hab7f
34786,2021-10-03T19:50:54+0000;0444,T6e94,Hae97;0445,T6e44,Hb4ff;0544,T6e84,Hafa8;0545,T6ec1,Hbf3e;0644,T7058,H9c99;0645,T6fdf,H9f4c;0744,T6fa9,H9383;0745,T6f49,Hac38
34787,2021-10-03T19:51:03+0000;0444,T6e80,Hafa0;0445,T6e32,Hb648;0544,T6e73,Hae0a;0545,T6ea9,Hbf56;0644,T7044,H9d79;0645,T6fcc,Ha016;0744,T6f9b,H942c;0745,T6f38,Hacf5
34788,2021-10-03T19:51:11+0000;0444,T6e6c,Hb014;0445,T6e1c,Hb74f;0544,T6e61,Hb044;0545,T6e97,Hc0d2;0644,T7030,H9e48;0645,T6fbb,Ha105;0744,T6f8d,H94bd;0745,T6f29,Hada7
34789,2021-10-03T19:51:20+0000;0444,T6e59,Hb037;0445,T6e09,Hb954;0544,T6e4b,Hb1a1;0545,T6e81,Hc18d;0644,T701a,H9f06;0645,T6fa7,Ha1bf;0744,T6f7c,H956f;0745,T6f19,Haf72
34790,2021-10-03T19:51:29+0000;0444,T6e45,Hb115;0445,T6df5,Hb77f;0544,T6e3c,Hb066;0545,T6e6a,Hc27b;0644,T7004,H9faf;0645,T6f92,Ha272;0744,T6f6a,H964f;0745,T6f07,Haf81
34791,2021-10-03T19:51:38+0000;0444,T6e32,Hb258;0445,T6de2,Hb886;0544,T6e28,Hb1de;0545,T6e54,Hc29f;0644,T6ff1,Ha08f;0645,T6f81,Ha35a;0744,T6f5b,H96f8;0745,T6ef8,Hb059
34792,2021-10-03T19:51:46+0000;0444,T6e1d,Hb23c;0445,T6dcd,Hb86d;0544,T6e16,Hb184;0545,T6e3f,Hc39a;0644,T6fdc,Ha156;0645,T6f6e,Ha3f4;0744,T6f4a,H9765;0745,T6eea,Hb0b5
34793,2021-10-03T19:51:55+0000;0444,T6e0a,Hb2b7;0445,T6dbd,Hbaac;0544,T6e04,Hb07c;0545,T6e29,Hc3a9;0644,T6fc7,Ha20a;0645,T6f5e,Ha4bb;0744,T6f3a,H97ee;0745,T6edb,Hb13c
34794,2021-10-03T19:52:04+0000;0444,T6df7,Hb515;0445,T6da8,Hbaea;0544,T6df2,Hb1d7;0545,T6e19,Hc464;0644,T6fb3,Ha2ee;0645,T6f4a,Ha589;0744,T6f2a,H987f;0745,T6ecb,Hb11c
34795,2021-10-03T19:52:13+0000;0444,T6de6,Hb484;0445,T6d97,Hbe2c;0544,T6ddf,Hb3e0;0545,T6e06,Hc59b;0644,T6f9e,Ha3cb;0645,T6f37,Ha65c;0744,T6f1a,H9900;0745,T6ebd,Hb21c
34796,2021-10-03T19:52:21+0000;0444,T6dd5,Hb57d;0445,T6d83,Hbde2;0544,T6dcb,Hb417;0545,T6def,Hc601;0644,T6f8c,Ha4c0;0645,T6f22,Ha726;0744,T6f0d,H99bd;0745,T6eaf,Hb36a
34797,2021-10-03T19:52:30+0000;0444,T6dbf,Hb671;0445,T6d6f,Hbac3;0544,T6db9,Hb2de;0545,T6ddb,Hc6cd;0644,T6f76,Ha54c;0645,T6f11,Ha7de;0744,T6efc,H9a72;0745,T6e9d,Hb36f
34798,2021-10-03T19:52:39+0000;0444,T6dae,Hb6ea;0445,T6d5b,Hbc88;0544,T6da7,Hb3a0;0545,T6dc8,Hc721;0644,T6f65,Ha611;0645,T6efe,Ha88b;0744,T6eed,H9af6;0745,T6e91,Hb429
