1764,2021-10-11T15:08:51+0000;0444,T699a,H6534;0445,T6985,H630d;0544,T6983,H5c15;0545,T6987,H62f8;0644,T692c,H66e3;0645,T6967,H65da;0744,T6971,H5a08;0745,T697a,H6676
1883,2021-10-11T15:40:06+0000;0444,T651a,H727e;0445,T6526,H7000;0544,T652f,H67cf;0545,T6535,H6fa8;0644,T651f,H72a6;0645,T6550,H71cb;0744,T6529,H6550;0745,T653b,H728d
1884,2021-10-11T15:40:22+0000;0444,T6517,H728a;0445,T6521,H700d;0544,T652a,H67d9;0545,T6530,H6fac;0644,T651d,H72b4;0645,T654d,H71d2;0744,T6525,H6554;0745,T6537,H729e
1885,2021-10-11T15:40:38+0000;0444,T6514,H7298;0445,T651c,H701a;0544,T6526,H67df;0545,T652e,H6fc7;0644,T6519,H72bf;0645,T6548,H71e0;0744,T6521,H655b;0745,T6533,H72a3
1886,2021-10-11T15:40:53+0000;0444,T650d,H72a0;0445,T651a,H701f;0544,T6524,H67e5;0545,T652a,H6fc8;0644,T6512,H72c5;0645,T6545,H71e2;0744,T651d,H6567;0745,T652f,H72b3
1887,2021-10-11T15:41:09+0000;0444,T650b,H72ae;0445,T6517,H7026;0544,T651d,H67ef;0545,T6525,H6fd4;0644,T6511,H72cc;0645,T6542,H71f1;0744,T651a,H6570;0745,T652c,H72b6
1888,2021-10-11T15:41:25+0000;0444,T6506,H72b7;0445,T6513,H7035;0544,T651a,H67fa;0545,T6523,H6fe1;0644,T650f,H72d4;0645,T653f,H71fb;0744,T6516,H6579;0745,T6528,H72c7
1889,2021-10-11T15:41:41+0000;0444,T6502,H72c3;0445,T650c,H703f;0544,T6517,H6803;0545,T6520,H6fe4;0644,T6509,H72db;0645,T653a,H71ff;0744,T6513,H658c;0745,T6524,H72d0
1890,2021-10-11T15:41:56+0000;0444,T64ff,H72c7;0445,T6509,H7047;0544,T6514,H6810;0545,T651b,H6ff4;0644,T6506,H72e8;0645,T6536,H720b;0744,T650d,H6594;0745,T6521,H72d6
1891,2021-10-11T15:42:12+0000;0444,T64fb,H72d4;0445,T6506,H7057;0544,T6510,H6818;0545,T6515,H6ff8;0644,T6505,H72f4;0645,T6533,H7210;0744,T650b,H6592;0745,T651b,H72e4
1892,2021-10-11T15:42:28+0000;0444,T64f6,H72e0;0445,T6503,H705b;0544,T650c,H6823;0545,T6511,H7006;0644,T6501,H72fa;0645,T6531,H721e;0744,T6507,H659d;0745,T6519,H72e7
1893,2021-10-11T15:42:44+0000;0444,T64f1,H72e7;0445,T64ff,H706b;0544,T6509,H682d;0545,T650d,H700e;0644,T6500,H72ff;0645,T652e,H721d;0744,T6504,H65a1;0745,T6516,H72f2
1894,2021-10-11T15:42:59+0000;0444,T64ef,H72eb;0445,T64fb,H7073;0544,T6505,H6836;0545,T650c,H701d;0644,T64fb,H7306;0645,T652c,H7223;0744,T6500,H65ad;0745,T6511,H72fc
1895,2021-10-11T15:43:15+0000;0444,T64ed,H72fb;0445,T64f8,H707b;0544,T6500,H683b;0545,T6508,H701b;0644,T64f6,H730d;0645,T6526,H7230;0744,T64fc,H65b3;0745,T650f,H730d
1896,2021-10-11T15:43:31+0000;0444,T64e9,H7307;0445,T64f3,H7083;0544,T64fe,H684b;0545,T6506,H702b;0644,T64f3,H7316;0645,T6523,H7237;0744,T64f8,H65b6;0745,T650d,H730f
1897,2021-10-11T15:43:47+0000;0444,T64e7,H730f;0445,T64f1,H708d;0544,T64fb,H684f;0545,T6503,H702e;0644,T64ee,H7320;0645,T6520,H7240;0744,T64f6,H65ca;0745,T6509,H731c
1898,2021-10-11T15:44:02+0000;0444,T64e3,H731f;0445,T64ed,H7093;0544,T64f8,H685a;0545,T64ff,H703c;0644,T64ee,H7320;0645,T651c,H7245;0744,T64f4,H65d4;0745,T6504,H731f
1899,2021-10-11T15:44:18+0000;0444,T64dc,H7322;0445,T64ed,H709c;0544,T64f6,H6864;0545,T64fd,H7043;0644,T64ec,H732b;0645,T6518,H724f;0744,T64ef,H65d8;0745,T6502,H732e
1900,2021-10-11T15:44:34+0000;0444,T64dc,H7326;0445,T64e5,H70a0;0544,T64f2,H6861;0545,T64f8,H7044;0644,T64e9,H7331;0645,T6515,H7253;0744,T64eb,H65e2;0745,T64fd,H7337
1901,2021-10-11T15:44:50+0000;0444,T64d8,H732e;0445,T64e3,H70b3;0544,T64ed,H686f;0545,T64f5,H7056;0644,T64e5,H733b;0645,T6515,H725d;0744,T64e8,H65e6;0745,T64fc,H7343
1902,2021-10-11T15:45:06+0000;0444,T64d5,H7341;0445,T64e1,H70bc;0544,T64eb,H6874;0545,T64f0,H7058;0644,T64e2,H733e;0645,T6512,H7265;0744,T64e6,H65ec;0745,T64f7,H7341
1903,2021-10-11T15:45:21+0000;0444,T64d0,H7346;0445,T64dd,H70c3;0544,T64ea,H6881;0545,T64ee,H7064;0644,T64df,H734b;0645,T650f,H726a;0744,T64e4,H65f3;0745,T64f3,H734a
1904,2021-10-11T15:45:37+0000;0444,T64ce,H734b;0445,T64db,H70c7;0544,T64e3,H688c;0545,T64eb,H706b;0644,T64dd,H7349;0645,T650a,H7272;0744,T64e2,H65fe;0745,T64f1,H7355
1905,2021-10-11T15:45:53+0000;0444,T64cb,H7358;0445,T64d8,H70d3;0544,T64e4,H6891;0545,T64ea,H7075;0644,T64db,H7359;0645,T6508,H727a;0744,T64dc,H660a;0745,T64ee,H7361
1906,2021-10-11T15:46:09+0000;0444,T64c8,H735c;0445,T64d5,H70da;0544,T64e0,H6897;0545,T64e6,H707a;0644,T64d6,H7361;0645,T6508,H7285;0744,T64da,H660d;0745,T64ea,H736a
1907,2021-10-11T15:46:24+0000;0444,T64c7,H7367;0445,T64cf,H70df;0544,T64db,H689a;0545,T64e0,H7083;0644,T64d4,H7363;0645,T6504,H728d;0744,T64d7,H6615;0745,T64e9,H736f
1908,2021-10-11T15:46:40+0000;0444,T64c4,H7373;0445,T64cd,H70e9;0544,T64d9,H68a4;0545,T64df,H708c;0644,T64d0,H736d;0645,T6501,H728f;0744,T64d3,H661d;0745,T64e4,H737a
1909,2021-10-11T15:46:56+0000;0444,T64c0,H7376;0445,T64cc,H70ec;0544,T64d4,H68a9;0545,T64db,H7090;0644,T64ce,H736e;0645,T64fe,H7295;0744,T64cf,H6626;0745,T64e1,H737f
1910,2021-10-11T15:47:12+0000;0444,T64bd,H737c;0445,T64c6,H70f6;0544,T64d2,H68b4;0545,T64d8,H709a;0644,T64cb,H7379;0645,T64fb,H72a8;0744,T64cd,H6628;0745,T64dd,H738a
1911,2021-10-11T15:47:27+0000;0444,T64b8,H738d;0445,T64c4,H70fd;0544,T64cf,H68c0;0545,T64d5,H70a0;0644,T64ca,H737d;0645,T64f8,H72a4;0744,T64cd,H6634;0745,T64dc,H738f
1912,2021-10-11T15:47:43+0000;0444,T64b7,H7394;0445,T64c1,H7106;0544,T64cd,H68c4;0545,T64d3,H70a6;0644,T64c9,H738a;0645,T64f5,H72ae;0744,T64c6,H6636;0745,T64d9,H739a
1913,2021-10-11T15:47:59+0000;0444,T64b3,H739e;0445,T64bf,H7111;0544,T64cb,H68ce;0545,T64cf,H70a9;0644,T64c4,H7392;0645,T64f5,H72b6;0744,T64c5,H6641;0745,T64d5,H739e
1914,2021-10-11T15:48:15+0000;0444,T64b1,H73a3;0445,T64bc,H7111;0544,T64c7,H68d5;0545,T64cf,H70b6;0644,T64c1,H738f;0645,T64f2,H72b4;0744,T64c4,H664e;0745,T64d3,H73a7
1915,2021-10-11T15:48:30+0000;0444,T64af,H73ae;0445,T64b8,H711c;0544,T64c2,H68d8;0545,T64ca,H70bd;0644,T64bf,H7396;0645,T64ee,H72bc;0744,T64c2,H6659;0745,T64d1,H73b1
1916,2021-10-11T15:48:46+0000;0444,T64ab,H73bb;0445,T64b8,H7123;0544,T64c2,H68dd;0545,T64ca,H70c0;0644,T64bc,H739f;0645,T64ea,H72c5;0744,T64be,H6655;0745,T64cd,H73b3
1917,2021-10-11T15:49:02+0000;0444,T64a8,H73b7;0445,T64b4,H7131;0544,T64be,H68e3;0545,T64c6,H70cc;0644,T64b8,H73a3;0645,T64e9,H72ca;0744,T64b9,H665a;0745,T64ca,H73bf
1918,2021-10-11T15:49:18+0000;0444,T64a4,H73c1;0445,T64b2,H712f;0544,T64bd,H68ec;0545,T64c2,H70cf;0644,T64b7,H73ae;0645,T64e6,H72cd;0744,T64b6,H6665;0745,T64c6,H73c3
1919,2021-10-11T15:49:33+0000;0444,T64a3,H73d1;0445,T64af,H713d;0544,T64b9,H68ea;0545,T64be,H70de;0644,T64b4,H73b6;0645,T64e4,H72d7;0744,T64b6,H666c;0745,T64c3,H73cd
1920,2021-10-11T15:49:49+0000;0444,T64a0,H73db;0445,T64ae,H7148;0544,T64b8,H68f7;0545,T64be,H70e1;0644,T64b3,H73ba;0645,T64e0,H72d9;0744,T64b3,H6672;0745,T64c1,H73d0
1921,2021-10-11T15:50:05+0000;0444,T649e,H73db;0445,T64a7,H7149;0544,T64b5,H6903;0545,T64ba,H70e8;0644,T64ae,H73b8;0645,T64de,H72e1;0744,T64b1,H667c;0745,T64be,H73da
1922,2021-10-11T15:50:21+0000;0444,T649b,H73e6;0445,T64a8,H714b;0544,T64b1,H68fe;0545,T64ba,H70ec;0644,T64ae,H73c3;0645,T64dd,H72ea;0744,T64ae,H667e;0745,T64bc,H73e2
1923,2021-10-11T15:50:36+0000;0444,T6497,H73eb;0445,T64a3,H714f;0544,T64af,H690e;0545,T64b6,H70f2;0644,T64ab,H73ca;0645,T64db,H72eb;0744,T64ad,H6685;0745,T64ba,H73e3
1924,2021-10-11T15:50:52+0000;0444,T6496,H73f1;0445,T64a2,H7157;0544,T64b0,H690b;0545,T64b5,H70f9;0644,T64a9,H73ca;0645,T64d5,H72f6;0744,T64aa,H6686;0745,T64b7,H73e8
1925,2021-10-11T15:51:08+0000;0444,T6494,H73f8;0445,T64a2,H7164;0544,T64ad,H6919;0545,T64b0,H7102;0644,T64a5,H73d4;0645,T64d8,H72fb;0744,T64a7,H668b;0745,T64b6,H73f2
1926,2021-10-11T15:51:24+0000;0444,T6491,H73f9;0445,T649d,H7169;0544,T64ab,H691f;0545,T64ae,H710a;0644,T64a5,H73d4;0645,T64d5,H72ff;0744,T64a4,H6698;0745,T64b3,H73f5
1927,2021-10-11T15:51:40+0000;0444,T648d,H7404;0445,T649e,H716a;0544,T64a8,H6920;0545,T64ad,H710f;0644,T64a3,H73db;0645,T64d0,H7308;0744,T64a0,H6696;0745,T64b1,H73f9
1928,2021-10-11T15:51:55+0000;0444,T648d,H740b;0445,T6497,H7167;0544,T64a4,H6929;0545,T64aa,H7118;0644,T64a0,H73d9;0645,T64d0,H730c;0744,T64a0,H669f;0745,T64b0,H7403
1929,2021-10-11T15:52:11+0000;0444,T648b,H7410;0445,T6497,H7175;0544,T64a3,H692f;0545,T64a5,H7118;0644,T649b,H73e4;0645,T64cb,H730c;0744,T649d,H66a4;0745,T64ad,H7410
1930,2021-10-11T15:52:27+0000;0444,T6487,H7413;0445,T6495,H7176;0544,T649f,H6935;0545,T64a2,H7124;0644,T649a,H73e7;0645,T64c9,H7313;0744,T649b,H66ad;0745,T64a9,H7412
1931,2021-10-11T15:52:43+0000;0444,T6485,H7416;0445,T6491,H717e;0544,T649e,H6941;0545,T64a2,H711c;0644,T649a,H73ed;0645,T64c8,H7316;0744,T649a,H66ac;0745,T64a9,H7415
1932,2021-10-11T15:52:58+0000;0444,T6484,H7420;0445,T6491,H7187;0544,T649c,H693e;0545,T649e,H712f;0644,T6499,H73f7;0645,T64c7,H7319;0744,T6494,H66b4;0745,T64a3,H7420
1933,2021-10-11T15:53:14+0000;0444,T6481,H7428;0445,T648f,H7190;0544,T6497,H6943;0545,T649e,H7134;0644,T6493,H73f7;0645,T64c5,H7320;0744,T6495,H66b7;0745,T64a1,H7429
1934,2021-10-11T15:53:30+0000;0444,T647e,H7427;0445,T648c,H7196;0544,T6497,H694c;0545,T649d,H713a;0644,T6494,H7405;0645,T64c2,H7329;0744,T6493,H66be;0745,T64a1,H742d
1935,2021-10-11T15:53:46+0000;0444,T647b,H742e;0445,T648a,H719f;0544,T6493,H6955;0545,T6498,H713b;0644,T6490,H7409;0645,T64c0,H7334;0744,T6490,H66c6;0745,T649c,H7436
1936,2021-10-11T15:54:01+0000;0444,T6479,H743b;0445,T6489,H719c;0544,T6490,H6956;0545,T6497,H7141;0644,T648f,H740a;0645,T64bc,H733b;0744,T648d,H66ca;0745,T649c,H7441
1937,2021-10-11T15:54:17+0000;0444,T6476,H743c;0445,T6484,H719e;0544,T6490,H6957;0545,T6495,H7148;0644,T648e,H7413;0645,T64c0,H7339;0744,T648b,H66d3;0745,T6498,H744a
1938,2021-10-11T15:54:33+0000;0444,T6476,H7441;0445,T6484,H71a8;0544,T6490,H695c;0545,T6491,H714e;0644,T648b,H7416;0645,T64bc,H733c;0744,T648a,H66d4;0745,T6496,H7446
1939,2021-10-11T15:54:49+0000;0444,T6473,H7448;0445,T6480,H71aa;0544,T648b,H6961;0545,T648f,H715a;0644,T6489,H7418;0645,T64b6,H7348;0744,T6488,H66d8;0745,T6493,H7452
1940,2021-10-11T15:55:04+0000;0444,T646f,H744e;0445,T6480,H71b0;0544,T6487,H6966;0545,T648d,H7159;0644,T6486,H741f;0645,T64b6,H7342;0744,T6483,H66df;0745,T6491,H7451
1941,2021-10-11T15:55:20+0000;0444,T646f,H7454;0445,T647f,H71af;0544,T6486,H696d;0545,T648b,H715f;0644,T6484,H7425;0645,T64b3,H734c;0744,T6482,H66e3;0745,T6490,H7457
1942,2021-10-11T15:55:36+0000;0444,T646a,H745a;0445,T647b,H71bb;0544,T6486,H6976;0545,T6488,H7163;0644,T6482,H742b;0645,T64b2,H734f;0744,T647f,H66ec;0745,T648d,H7462
1943,2021-10-11T15:55:52+0000;0444,T646b,H7458;0445,T6478,H71bf;0544,T6484,H6971;0545,T6485,H716b;0644,T6482,H7430;0645,T64b1,H735c;0744,T647d,H66eb;0745,T648c,H7463
1944,2021-10-11T15:56:07+0000;0444,T6467,H7465;0445,T6476,H71c6;0544,T6482,H6978;0545,T6486,H7175;0644,T647e,H7433;0645,T64ac,H7358;0744,T647b,H66f3;0745,T648a,H7469
1945,2021-10-11T15:56:23+0000;0444,T6464,H746d;0445,T6474,H71cf;0544,T647f,H6982;0545,T6483,H7176;0644,T647d,H7437;0645,T64ab,H7361;0744,T647a,H66f8;0745,T6487,H7472
1946,2021-10-11T15:56:39+0000;0444,T6463,H7475;0445,T6470,H71d3;0544,T647b,H6983;0545,T6481,H717c;0644,T6478,H743e;0645,T64aa,H7361;0744,T6478,H6700;0745,T6485,H7471
1947,2021-10-11T15:56:55+0000;0444,T6461,H7470;0445,T646e,H71d3;0544,T6479,H698e;0545,T647d,H7185;0644,T6479,H7448;0645,T64a8,H736e;0744,T6477,H6701;0745,T6482,H7476
1948,2021-10-11T15:57:10+0000;0444,T645d,H7481;0445,T646e,H71d9;0544,T6478,H698f;0545,T647a,H7189;0644,T6476,H7447;0645,T64a4,H7372;0744,T6475,H6703;0745,T647d,H7476
1949,2021-10-11T15:57:26+0000;0444,T645e,H7478;0445,T646c,H71e4;0544,T6476,H6995;0545,T647c,H7193;0644,T6475,H744c;0645,T64a2,H7370;0744,T6472,H6710;0745,T647d,H7484
1950,2021-10-11T15:57:42+0000;0444,T645b,H7483;0445,T646a,H71e8;0544,T6474,H6997;0545,T6477,H7191;0644,T6471,H7453;0645,T64a2,H7375;0744,T646f,H6713;0745,T647c,H7487
1951,2021-10-11T15:57:58+0000;0444,T6458,H748d;0445,T6469,H71e4;0544,T6472,H699a;0545,T6478,H7197;0644,T6470,H7454;0645,T64a0,H737f;0744,T646d,H6710;0745,T647b,H7491
1952,2021-10-11T15:58:14+0000;0444,T6457,H7496;0445,T6465,H71ef;0544,T6470,H69a3;0545,T6475,H719e;0644,T646e,H7455;0645,T64a0,H7382;0744,T646d,H6719;0745,T6477,H7499
1953,2021-10-11T15:58:29+0000;0444,T6457,H7499;0445,T6464,H71fb;0544,T646f,H69aa;0545,T6472,H71a2;0644,T646c,H7462;0645,T649d,H7388;0744,T646b,H671f;0745,T6476,H7498
1954,2021-10-11T15:58:45+0000;0444,T6451,H749d;0445,T6462,H71fb;0544,T646d,H69af;0545,T6470,H71a3;0644,T646a,H7464;0645,T649a,H738e;0744,T6468,H671d;0745,T6475,H7497
1955,2021-10-11T15:59:01+0000;0444,T6452,H74a1;0445,T6460,H71ff;0544,T6469,H69ac;0545,T646f,H71ad;0644,T6469,H7468;0645,T6497,H7394;0744,T6464,H6723;0745,T6472,H74a1
1956,2021-10-11T15:59:17+0000;0444,T644d,H74a5;0445,T645c,H71fd;0544,T646a,H69b4;0545,T646b,H71b0;0644,T6468,H7470;0645,T6497,H7397;0744,T6464,H672c;0745,T6471,H74ab
1957,2021-10-11T15:59:32+0000;0444,T644d,H74ae;0445,T645b,H7210;0544,T6465,H69b8;0545,T6468,H71bd;0644,T6464,H7470;0645,T6495,H739b;0744,T6463,H6730;0745,T646f,H74a8
1958,2021-10-11T15:59:48+0000;0444,T644a,H74b2;0445,T645b,H7207;0544,T6466,H69c0;0545,T646a,H71bd;0644,T6464,H747b;0645,T6491,H739c;0744,T6460,H6733;0745,T646b,H74ae
1959,2021-10-11T16:00:04+0000;0444,T6447,H74b4;0445,T6456,H7213;0544,T6462,H69c0;0545,T6466,H71bf;0644,T6461,H747c;0645,T6492,H739f;0744,T645f,H6736;0745,T646c,H74b6
1960,2021-10-11T16:00:20+0000;0444,T6447,H74bb;0445,T6455,H721a;0544,T6463,H69c2;0545,T6463,H71be;0644,T6460,H7482;0645,T648f,H73a8;0744,T645d,H673d;0745,T6468,H74bd
1961,2021-10-11T16:00:35+0000;0444,T6445,H74c0;0445,T6455,H721a;0544,T645f,H69c9;0545,T6462,H71ca;0644,T645f,H7481;0645,T648e,H73a4;0744,T645d,H673d;0745,T6465,H74c5
1962,2021-10-11T16:00:51+0000;0444,T6443,H74c8;0445,T6450,H7224;0544,T645e,H69d3;0545,T6460,H71d3;0644,T645c,H7489;0645,T648b,H73af;0744,T6459,H6747;0745,T6462,H74c6
1963,2021-10-11T16:01:07+0000;0444,T6440,H74c3;0445,T6450,H7227;0544,T645a,H69d5;0545,T645d,H71d7;0644,T6458,H7491;0645,T648a,H73b7;0744,T6457,H674d;0745,T6462,H74c9
1964,2021-10-11T16:01:23+0000;0444,T643f,H74cc;0445,T644e,H722f;0544,T6459,H69d5;0545,T645b,H71db;0644,T6458,H7492;0645,T648a,H73ba;0744,T6456,H6753;0745,T6461,H74d2
1965,2021-10-11T16:01:38+0000;0444,T643f,H74d4;0445,T644d,H7231;0544,T6456,H69d6;0545,T645a,H71e5;0644,T6456,H7499;0645,T6487,H73bc;0744,T6453,H6753;0745,T645e,H74d3
1966,2021-10-11T16:01:54+0000;0444,T643b,H74d6;0445,T644b,H7233;0544,T6453,H69e0;0545,T6458,H71df;0644,T6454,H749d;0645,T6485,H73b9;0744,T644f,H6756;0745,T645c,H74da
1967,2021-10-11T16:02:10+0000;0444,T643a,H74dc;0445,T6449,H7234;0544,T6452,H69e4;0545,T6454,H71e7;0644,T6454,H74a6;0645,T6484,H73be;0744,T644f,H6762;0745,T645a,H74e0
1968,2021-10-11T16:02:26+0000;0444,T6437,H74e5;0445,T6448,H7239;0544,T6450,H69eb;0545,T6455,H71eb;0644,T6451,H74a6;0645,T6481,H73c7;0744,T644f,H6764;0745,T6459,H74e9
1969,2021-10-11T16:02:41+0000;0444,T6435,H74ea;0445,T6442,H7242;0544,T6451,H69eb;0545,T6450,H71f2;0644,T644d,H74ae;0645,T647f,H73d1;0744,T644b,H6765;0745,T6456,H74e8
1970,2021-10-11T16:02:57+0000;0444,T6433,H74ed;0445,T6442,H7244;0544,T644c,H69ee;0545,T6452,H71f9;0644,T644e,H74a9;0645,T647d,H73cc;0744,T6449,H6765;0745,T6453,H74e9
1971,2021-10-11T16:03:13+0000;0444,T6431,H74f3;0445,T643f,H724a;0544,T644d,H69f5;0545,T644e,H71fb;0644,T644d,H74ac;0645,T6479,H73d2;0744,T6448,H676c;0745,T6453,H74f4
1972,2021-10-11T16:03:29+0000;0444,T6430,H74f3;0445,T6440,H7253;0544,T644b,H69f7;0545,T644b,H71fe;0644,T644a,H74b1;0645,T647a,H73d4;0744,T6446,H676c;0745,T644f,H74fb
1973,2021-10-11T16:03:44+0000;0444,T6431,H74f9;0445,T643e,H7252;0544,T6449,H69ff;0545,T644b,H7208;0644,T6449,H74b9;0645,T6479,H73db;0744,T6447,H6772;0745,T644e,H74f9
1974,2021-10-11T16:04:00+0000;0444,T642b,H74fb;0445,T643d,H7251;0544,T6447,H6a07;0545,T6449,H720d;0644,T6446,H74bb;0645,T6475,H73d8;0744,T6445,H677a;0745,T644f,H74fd
1975,2021-10-11T16:04:16+0000;0444,T642a,H74fe;0445,T643c,H725b;0544,T6444,H6a0b;0545,T6447,H720f;0644,T6445,H74c4;0645,T6475,H73df;0744,T6440,H6777;0745,T644b,H7501
1976,2021-10-11T16:04:32+0000;0444,T6428,H7509;0445,T6438,H725b;0544,T6444,H6a0e;0545,T6446,H720e;0644,T6443,H74c3;0645,T6472,H73e0;0744,T643f,H677f;0745,T644b,H7509
1977,2021-10-11T16:04:48+0000;0444,T6425,H7504;0445,T6435,H7261;0544,T6440,H6a10;0545,T6445,H7213;0644,T6442,H74ce;0645,T6473,H73ed;0744,T643d,H6784;0745,T6447,H7512
1978,2021-10-11T16:05:03+0000;0444,T6424,H7514;0445,T6439,H7268;0544,T643f,H6a15;0545,T6441,H721a;0644,T643f,H74d3;0645,T646f,H73e8;0744,T643c,H678a;0745,T6447,H750f
1979,2021-10-11T16:05:19+0000;0444,T6423,H7514;0445,T6433,H726a;0544,T643d,H6a14;0545,T643f,H721e;0644,T643e,H74d8;0645,T646f,H73ee;0744,T6439,H6788;0745,T6445,H7514
1980,2021-10-11T16:05:35+0000;0444,T6420,H7517;0445,T6430,H726e;0544,T643a,H6a21;0545,T6440,H7221;0644,T643c,H74d4;0645,T646d,H73f4;0744,T6437,H6789;0745,T6444,H7518
1981,2021-10-11T16:05:51+0000;0444,T6421,H751a;0445,T642f,H7273;0544,T643b,H6a21;0545,T643e,H7228;0644,T643b,H74df;0645,T646c,H73f3;0744,T6437,H678d;0745,T6440,H751f
1982,2021-10-11T16:06:06+0000;0444,T641c,H7522;0445,T642e,H727b;0544,T6439,H6a26;0545,T643b,H722b;0644,T643a,H74e2;0645,T646c,H73f9;0744,T6434,H678c;0745,T643f,H7520
1983,2021-10-11T16:06:22+0000;0444,T641c,H752c;0445,T642c,H727a;0544,T6438,H6a28;0545,T6438,H7227;0644,T6437,H74e3;0645,T646c,H73fe;0744,T6435,H679b;0745,T643c,H7528
1984,2021-10-11T16:06:38+0000;0444,T641c,H7529;0445,T642b,H727f;0544,T6435,H6a31;0545,T6439,H7232;0644,T6436,H74e7;0645,T6469,H7404;0744,T6431,H679c;0745,T643b,H7523
1985,2021-10-11T16:06:54+0000;0444,T6419,H7525;0445,T642a,H7281;0544,T6432,H6a34;0545,T6435,H7236;0644,T6434,H74ed;0645,T6467,H73ff;0744,T6430,H67a0;0745,T643b,H752e
1986,2021-10-11T16:07:09+0000;0444,T6417,H7533;0445,T6426,H7284;0544,T6431,H6a35;0545,T6434,H723b;0644,T6433,H74f4;0645,T6464,H7406;0744,T642f,H67a1;0745,T6438,H7533
1987,2021-10-11T16:07:25+0000;0444,T6415,H753c;0445,T6426,H728b;0544,T6431,H6a3a;0545,T6432,H723b;0644,T6432,H74f2;0645,T6464,H740a;0744,T642b,H67a1;0745,T6436,H7539
1988,2021-10-11T16:07:41+0000;0444,T6414,H7539;0445,T6424,H7291;0544,T642e,H6a3b;0545,T6430,H7241;0644,T642e,H74f9;0645,T6461,H7408;0744,T642d,H67a8;0745,T6433,H7538
1989,2021-10-11T16:07:57+0000;0444,T6410,H7538;0445,T6421,H728c;0544,T642d,H6a3f;0545,T6430,H7243;0644,T642f,H74fa;0645,T6461,H740c;0744,T6429,H67a9;0745,T6433,H753b
1990,2021-10-11T16:08:12+0000;0444,T6411,H753d;0445,T6420,H7299;0544,T642a,H6a45;0545,T642d,H7243;0644,T642c,H74ff;0645,T645f,H7410;0744,T6427,H67b1;0745,T6431,H753d
1991,2021-10-11T16:08:28+0000;0444,T640f,H7547;0445,T641d,H729a;0544,T6428,H6a4d;0545,T642f,H724f;0644,T6429,H7505;0645,T645c,H740d;0744,T6426,H67b1;0745,T6430,H7544
1992,2021-10-11T16:08:44+0000;0444,T640d,H7549;0445,T641d,H72a0;0544,T6428,H6a4b;0545,T642c,H7253;0644,T6429,H7505;0645,T645d,H7419;0744,T6425,H67b3;0745,T642c,H7544
1993,2021-10-11T16:09:00+0000;0444,T640b,H7550;0445,T641c,H72a2;0544,T6425,H6a52;0545,T642c,H7252;0644,T6428,H750a;0645,T645b,H741c;0744,T6425,H67bc;0745,T642e,H754c
1994,2021-10-11T16:09:15+0000;0444,T640a,H754a;0445,T641a,H72a9;0544,T6423,H6a52;0545,T6429,H725a;0644,T6427,H750d;0645,T6459,H7420;0744,T6421,H67b5;0745,T642b,H7551
1995,2021-10-11T16:09:31+0000;0444,T6407,H7556;0445,T6418,H72aa;0544,T6422,H6a5f;0545,T6426,H725d;0644,T6425,H7512;0645,T6458,H7424;0744,T6420,H67c3;0745,T642b,H7551
1996,2021-10-11T16:09:47+0000;0444,T6407,H755d;0445,T6416,H72a9;0544,T6421,H6a58;0545,T6426,H7261;0644,T6424,H7512;0645,T6455,H7425;0744,T6421,H67c3;0745,T6429,H7555
1997,2021-10-11T16:10:03+0000;0444,T6404,H755d;0445,T6417,H72b1;0544,T641e,H6a5a;0545,T6423,H7266;0644,T641f,H751e;0645,T6456,H742b;0744,T641f,H67cd;0745,T6428,H755a
1998,2021-10-11T16:10:18+0000;0444,T6402,H7564;0445,T6416,H72b6;0544,T6420,H6a66;0545,T6422,H7265;0644,T6420,H751f;0645,T6455,H7429;0744,T641a,H67ce;0745,T6426,H755a
1999,2021-10-11T16:10:34+0000;0444,T63ff,H7565;0445,T6410,H72ba;0544,T641e,H6a67;0545,T641f,H7269;0644,T641f,H751f;0645,T6453,H7432;0744,T641a,H67c7;0745,T6423,H755f
2000,2021-10-11T16:10:51+0000;0444,T6400,H7569;0445,T6411,H72b7;0544,T641c,H6a65;0545,T6420,H7270;0644,T641d,H7520;0645,T6452,H742a;0744,T6418,H67cd;0745,T6423,H7563
2001,2021-10-11T16:11:06+0000;0444,T63ff,H7566;0445,T6411,H72c0;0544,T641b,H6a67;0545,T641d,H726e;0644,T641c,H7522;0645,T6451,H7431;0744,T6416,H67d8;0745,T6420,H7564
2002,2021-10-11T16:11:22+0000;0444,T63fb,H756e;0445,T640e,H72c0;0544,T641a,H6a73;0545,T641c,H7273;0644,T641a,H752a;0645,T6450,H7433;0744,T6415,H67d6;0745,T6420,H756a
2003,2021-10-11T16:11:37+0000;0444,T63fb,H7572;0445,T640f,H72c9;0544,T6419,H6a72;0545,T641b,H7276;0644,T6419,H752c;0645,T644e,H7439;0744,T6416,H67d8;0745,T641d,H7572
2004,2021-10-11T16:11:53+0000;0444,T63fa,H757a;0445,T640a,H72c7;0544,T6417,H6a75;0545,T6418,H7277;0644,T6416,H7527;0645,T644d,H743a;0744,T6414,H67d9;0745,T641d,H756f
2005,2021-10-11T16:12:09+0000;0444,T63f8,H7577;0445,T640b,H72d4;0544,T6414,H6a76;0545,T6419,H727c;0644,T6415,H7533;0645,T6449,H743d;0744,T6412,H67df;0745,T641b,H7576
